pitcher_name,link,pic_link,handedness,height,weight
A.J. Hutcheson,https://osubeavers.com/sports/baseball/roster/aj-hutcheson/10714,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_HutchesonAJ_00240.jpg&width=180&height=270&type=webp,RHP,5-11,187
A.J. Lattery,https://osubeavers.com/sports/baseball/roster/aj-lattery/10058,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F11%2F7%2FLattery.png&width=180&height=270&type=webp,RHP,6-5,248
Adam Haight,https://osubeavers.com/sports/baseball/roster/adam-haight/10762,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_HaightAdam_00737.jpg&width=180&height=270&type=webp,RHP,6-2,192
Aiden May,https://osubeavers.com/sports/baseball/roster/aiden-may/10133,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F11%2F7%2FMay.png&width=180&height=270&type=webp,RHP,6-2,196
Bridger Holmes,https://osubeavers.com/sports/baseball/roster/bridger-holmes/10146,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F11%2F7%2FHolmes.png&width=180&height=270&type=webp,RHP,6-4,218
Chase Reynolds,https://osubeavers.com/sports/baseball/roster/chase-reynolds/10141,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_ReynoldsChase_00049.jpg&width=180&height=270&type=webp,RHP,6-1,211
Dax Whitney,https://osubeavers.com/sports/baseball/roster/dax-whitney/10774,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_WhitneyDax_00102.jpg&width=180&height=270&type=webp,RHP,6-5,204
Drew Talavs,https://osubeavers.com/sports/baseball/roster/drew-talavs/10729,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_TalvasDrew_00452.jpg&width=180&height=270&type=webp,RHP,6-3,202
Eric Segura,https://osubeavers.com/sports/baseball/roster/eric-segura/10728,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_SeguraEric_00630.jpg&width=180&height=270&type=webp,RHP,6-2,203
Ethan Kleinschmit,https://osubeavers.com/sports/baseball/roster/ethan-kleinschmit/10766,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_KleinschmditEthan_00366.jpg&width=180&height=270&type=webp,LHP,6-3,200
Ian Lawson,https://osubeavers.com/sports/baseball/roster/ian-lawson/10059,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F11%2F7%2FLawson.png&width=180&height=270&type=webp,RHP,6-7,246
Jacob Kmatz,https://osubeavers.com/sports/baseball/roster/jacob-kmatz/10055,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F11%2F7%2FKmatz.png&width=180&height=270&type=webp,RHP,6-3,210
James DeCremer,https://osubeavers.com/sports/baseball/roster/james-decremer/10775,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_DecremerJames_01195.jpg&width=180&height=270&type=webp,RHP,6-2,205
Joey Mundt,https://osubeavers.com/sports/baseball/roster/joey-mundt/10721,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_MundtJoey_00039.jpg&width=180&height=270&type=webp,RHP,6-4,224
Kellan Oakes,https://osubeavers.com/sports/baseball/roster/kellan-oakes/10722,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_OakesKellan_00424.jpg&width=180&height=270&type=webp,RHP,6-2,201
Laif Palmer,https://osubeavers.com/sports/baseball/roster/laif-palmer/10723,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_PalmerLaif_00662.jpg&width=180&height=270&type=webp,RHP,6-6,207
Matthew Morrell,https://osubeavers.com/sports/baseball/roster/matthew-morrell/10720,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_MorrellMatthew_00762.jpg&width=180&height=270&type=webp,RHP,6-3,202
Nelson Keljo,https://osubeavers.com/sports/baseball/roster/nelson-keljo/10716,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_KeljoNelson_00116.jpg&width=180&height=270&type=webp,LHP,6-4,228
Noah Ferguson,https://osubeavers.com/sports/baseball/roster/noah-ferguson/10134,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_FergusonNoah_00283.jpg&width=180&height=270&type=webp,RHP,5-10,188
Tanner Douglas,https://osubeavers.com/sports/baseball/roster/tanner-douglas/10758,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_DouglasTanner_00196.jpg&width=180&height=270&type=webp,LHP,6-2,205
Tephen Montgomery,https://osubeavers.com/sports/baseball/roster/tephen-montgomery/10147,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F11%2F7%2FMontgomery.png&width=180&height=270&type=webp,RHP,6-4,193
Tyler Mejia,https://osubeavers.com/sports/baseball/roster/tyler-mejia/10062,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F11%2F7%2FMejia.png&width=180&height=270&type=webp,LHP,6-3,200
Wyatt Queen,https://osubeavers.com/sports/baseball/roster/wyatt-queen/10768,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_QueenWyatt_00581.jpg&width=180&height=270&type=webp,RHP,6-2,200
Zach Edwards,https://osubeavers.com/sports/baseball/roster/zach-edwards/10759,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_EdwardsZach_00602.jpg&width=180&height=270&type=webp,RHP,6-2,215
Zach Kmatz,https://osubeavers.com/sports/baseball/roster/zach-kmatz/10767,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_KmatzZach__00072.jpg&width=180&height=270&type=webp,RHP,6-3,215
